                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3445,                 4.2002,                 1.4107,                 0.0031,                0.92857,                0.01525,                0.00757,                0.76957,                 3.7209,                 1.0726,                0.00012,                0.00012,                0.00012
                      2,                 1.0028,                 2.8742,                 1.1225,                0.00321,                0.96429,                0.76549,                0.51848,                0.95666,                 3.3128,                 1.0724,              0.0002497,              0.0002497,              0.0002497
                      3,                0.95582,                 2.0897,                 1.0483,                 0.0031,                0.92857,                 0.6009,                0.43105,                0.87174,                 3.4935,                 1.0786,             0.00036832,             0.00036832,             0.00036832
                      4,                0.87585,                 1.8127,                 1.0392,                0.00321,                0.96429,                0.19986,                0.09837,                0.87082,                 3.6288,                 1.1182,             0.00047585,             0.00047585,             0.00047585
                      5,                0.74653,                 1.5841,                0.96551,                0.00333,                      1,                 0.0274,                0.02422,                0.80155,                 3.6343,                 1.0727,             0.00057229,             0.00057229,             0.00057229
                      6,                0.72355,                  1.625,                0.97163,                0.00298,                0.89286,                0.08118,                0.07477,                 1.0224,                 3.6854,                 1.1454,             0.00065764,             0.00065764,             0.00065764
                      7,                0.86084,                 1.5731,                0.99241,                0.00321,                0.96429,                0.10137,                0.08178,                 1.0364,                 3.5415,                 1.1665,              0.0007319,              0.0007319,              0.0007319
                      8,                0.78014,                 1.4119,                0.94959,                0.00805,                0.89286,                0.27942,                0.21227,                0.97035,                  3.402,                 1.1071,             0.00079508,             0.00079508,             0.00079508
                      9,                0.82246,                 1.4193,                 1.0017,                0.49427,                0.17857,                0.30237,                0.25635,                 0.8637,                 3.1563,                 1.0816,             0.00084717,             0.00084717,             0.00084717
                     10,                0.87048,                 1.3733,                 1.0227,                 0.3119,                0.40492,                 0.2616,                0.22799,                 0.7668,                 3.1117,                 1.0297,             0.00088817,             0.00088817,             0.00088817
                     11,                0.82059,                 1.3566,                 0.9747,                0.99529,                0.46429,                0.51353,                 0.4238,                0.83471,                 2.9765,                 1.0654,             0.00091808,             0.00091808,             0.00091808
                     12,                0.82569,                 1.4289,                 1.0322,                      1,                  0.545,                0.71972,                0.58152,                0.76526,                 2.6312,                 1.0314,              0.0009369,              0.0009369,              0.0009369
                     13,                0.80881,                 1.2175,                 0.9679,                      1,                0.70113,                0.86104,                 0.6851,                0.74578,                 2.2713,                0.99054,             0.00094464,             0.00094464,             0.00094464
                     14,                0.74211,                 1.1027,                   0.93,                      1,                0.94981,                0.99397,                0.78544,                 0.8062,                 1.6395,                 1.0221,             0.00094129,             0.00094129,             0.00094129
                     15,                0.74474,                 1.1144,                0.95237,                      1,                0.99598,                  0.995,                0.80495,                0.74508,                 1.3078,                0.99137,              0.0008912,              0.0008912,              0.0008912
                     16,                0.67022,                 1.3074,                0.93566,                      1,                 0.9972,                  0.995,                0.80773,                0.73462,                 1.2343,                0.97998,               0.000812,               0.000812,               0.000812
                     17,                0.73008,                 1.2219,                 1.0046,                0.99576,                      1,                  0.995,                0.82196,                0.70356,                 1.1477,                0.96899,              0.0007328,              0.0007328,              0.0007328
                     18,                 0.6502,                 1.1438,                0.92766,                 0.9965,                      1,                  0.995,                0.81732,                 0.6743,                 1.0095,                0.97513,              0.0006536,              0.0006536,              0.0006536
                     19,                0.57684,                 1.0936,                0.91264,                 0.9964,                      1,                  0.995,                0.79177,                0.76324,                0.93438,                 1.0017,              0.0005744,              0.0005744,              0.0005744
                     20,                0.63401,                 1.0542,                0.93755,                0.99754,                      1,                  0.995,                0.81702,                0.72437,                0.86748,                0.96903,              0.0004952,              0.0004952,              0.0004952
                     21,                0.61109,                 1.0902,                0.92081,                0.99692,                      1,                  0.995,                0.83311,                0.66819,                0.81897,                0.94107,               0.000416,               0.000416,               0.000416
                     22,                0.54298,                 1.0114,                0.87923,                0.99801,                      1,                  0.995,                0.85255,                0.60877,                0.74411,                0.91747,              0.0003368,              0.0003368,              0.0003368
                     23,                0.53821,                0.97392,                0.88816,                0.99831,                      1,                  0.995,                0.86273,                0.55939,                0.67307,                0.89464,              0.0002576,              0.0002576,              0.0002576
                     24,                0.49069,                0.93983,                0.88094,                0.99804,                      1,                  0.995,                0.87796,                0.53722,                0.62996,                0.88393,              0.0001784,              0.0001784,              0.0001784
                     25,                0.49091,                0.90703,                 0.8722,                0.99795,                      1,                  0.995,                0.87899,                0.53511,                0.61851,                0.88191,               9.92e-05,               9.92e-05,               9.92e-05
